"person","perOcc","perBcity","perBcountry","perDcity","perDcountry","perBdate","perDdate"
"http://dbpedia.org/resource/Helene_Holzman","http://dbpedia.org/class/yago/WikicatGermanPainters","http://dbpedia.org/resource/Jena","http://dbpedia.org/resource/Germany","http://dbpedia.org/resource/Giessen","http://dbpedia.org/resource/Germany","1891-8-30","1968-8-25"
"http://dbpedia.org/resource/Fede_Galizia","http://dbpedia.org/class/yago/WikicatItalianBaroquePainters","http://dbpedia.org/resource/Milan","http://dbpedia.org/resource/Italy","http://dbpedia.org/resource/Milan","http://dbpedia.org/resource/Italy","1578-1-1","1630-1-1"
"http://dbpedia.org/resource/Resia_Schor","http://dbpedia.org/class/yago/Painter110391653","http://dbpedia.org/resource/Lublin","http://dbpedia.org/resource/Poland","http://dbpedia.org/resource/New_York_City","http://dbpedia.org/resource/United_States",1910-12-05,2006-11-27
"http://dbpedia.org/resource/Alis_Guggenheim","http://dbpedia.org/class/yago/WikicatSwissPainters","http://dbpedia.org/resource/Lengnau,_Aargau","http://dbpedia.org/resource/Switzerland","http://dbpedia.org/resource/Zürich","http://dbpedia.org/resource/Switzerland","1896-3-8","1958-9-2"
"http://dbpedia.org/resource/Nadya_Rusheva","http://dbpedia.org/class/yago/Painter110391653","http://dbpedia.org/resource/Ulaanbaatar","http://dbpedia.org/resource/Mongolia","http://dbpedia.org/resource/Moscow","http://dbpedia.org/resource/Russia","1952-1-31","1969-3-6"
"http://dbpedia.org/resource/Ruth_Dicker","http://dbpedia.org/class/yago/Painter110391653","http://dbpedia.org/resource/Niagara_Falls,_New_York","http://dbpedia.org/resource/United_States","http://dbpedia.org/resource/California","http://dbpedia.org/resource/United_States",1919-03-09,2004-12-02
"http://dbpedia.org/resource/Claudine_Bouzonnet-Stella","http://dbpedia.org/class/yago/WikicatFrenchWomenPainters","http://dbpedia.org/resource/Lyon","http://dbpedia.org/resource/France","http://dbpedia.org/resource/Paris","http://dbpedia.org/resource/France","1636-1-1","1697-10-1"
"http://dbpedia.org/resource/Nancy_Graves","http://dbpedia.org/class/yago/Painter110391653","http://dbpedia.org/resource/Pittsfield,_Massachusetts","http://dbpedia.org/resource/United_States","http://dbpedia.org/resource/New_York_City","http://dbpedia.org/resource/United_States",1939-12-23,1995-10-21
"http://dbpedia.org/resource/Hanna_Hirsch-Pauli","http://dbpedia.org/class/yago/WikicatSwedishPainters","http://dbpedia.org/resource/Stockholm","http://dbpedia.org/resource/Sweden","http://dbpedia.org/resource/Stockholm","http://dbpedia.org/resource/Sweden","1864-1-13",1940-12-29
"http://dbpedia.org/resource/Adelheid_Dietrich","http://dbpedia.org/class/yago/WikicatGermanWomenPainters","http://dbpedia.org/resource/Wittenberg","http://dbpedia.org/resource/Germany","http://dbpedia.org/resource/Erfurt","http://dbpedia.org/resource/Germany",1827-10-13,"1891-4-2"
"http://dbpedia.org/resource/Geneviève_Brossard_de_Beaulieu","http://dbpedia.org/class/yago/WikicatFrenchGenrePainters","http://dbpedia.org/resource/La_Rochelle","http://dbpedia.org/resource/France","http://dbpedia.org/resource/Paris","http://dbpedia.org/resource/France","1755-1-1","1835-1-1"
"http://dbpedia.org/resource/Rebecca_Solomon","http://dbpedia.org/class/yago/Painter110391653","http://dbpedia.org/resource/London","http://dbpedia.org/resource/United_Kingdom","http://dbpedia.org/resource/London","http://dbpedia.org/resource/United_Kingdom","1832-9-26",1886-11-20
